scenario,run,source_file,revision_git,throughput,latency_p50_ms,latency_p95_ms,latency_p99_ms,confirmed_writes,uncertain_writes,rejected_writes,omitted_operations,measurement_window_seconds,restored
leader caído,4,leader-down-5-004.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.7454933669389698,289.622484,2165.525291,4165.990387,105,15,0,0,60.154912066,true
leader caído,5,leader-down-5-005.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.9166611516019803,630.858013,2552.717329,3990.983711,115,5,0,0,60.000172646,true
leader caído,6,leader-down-5-006.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8332969979368234,358.312624,2234.574971,2734.639281,110,10,0,0,60.001189182,true
leader caído,7,leader-down-5-007.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.866650166163636,271.567499,2601.505638,4600.931325,112,8,0,0,60.000530378,true
leader caído,8,leader-down-5-008.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.583327285656433,395.554762,3000.766237,4999.824247,95,24,0,1,60.000229176,true
leader caído,9,leader-down-5-009.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.849976231012057,674.761646,3309.156292,5749.297899,111,8,0,1,60.000770896,true
leader caído,10,leader-down-5-010.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.855410860069744,663.878796,3222.925689,4363.773642,112,8,0,0,60.363988597,true
leader caído,11,leader-down-5-011.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.593780977586228,491.543398,3490.541321,4490.739282,96,23,0,1,60.234123352,true
leader caído,12,leader-down-5-012.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.6833213659564696,289.778906,2089.425418,3406.260673,101,19,0,0,60.000426563,true
leader caído,13,leader-down-5-013.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.883300124725574,610.859996,3463.307357,4462.97105,113,6,0,1,60.001057992,true
leader caído,14,leader-down-5-014.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.733320579676063,454.051509,2331.642905,3121.461279,104,15,0,1,60.000441476,true
leader caído,15,leader-down-5-015.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.699968578942432,761.328755,3764.836601,4652.973192,102,17,0,1,60.001108999,true
leader caído,16,leader-down-5-016.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.6666637125052362,864.320563,3854.104206,4854.275521,100,20,0,0,60.00010635,true
leader caído,17,leader-down-5-017.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.3574829861394202,431.871339,2270.03688,3025.644074,82,37,0,1,60.405913619,true
leader caído,18,leader-down-5-018.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8499951951924791,683.888184,3152.916922,4152.866805,111,9,0,0,60.000155832,true
leader caído,19,leader-down-5-019.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.7833251138689952,352.428744,2818.718695,4715.26291,107,12,0,1,60.000276544,true
leader caído,20,leader-down-5-020.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.6999681591997189,336.012877,2894.482867,4454.088355,102,18,0,0,60.001123814,true
leader caído,21,leader-down-5-021.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.5166365741451397,364.365525,1690.405815,2956.702792,91,29,0,0,60.001190497,true
leader caído,22,leader-down-5-022.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.6812110643918499,410.117113,1837.755333,2658.980276,101,19,0,0,60.07574072,true
leader caído,23,leader-down-5-023.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.766635701046655,462.015994,2794.274897,4765.860615,106,14,0,0,60.001051681,true
leader caído,24,leader-down-5-024.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8646770564586452,382.735612,1754.961706,2648.901392,113,7,0,0,60.600305886,true
leader caído,25,leader-down-5-025.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.866633490211881,268.750016,2110.00351,4108.874615,112,8,0,0,60.001066405,true
leader caído,26,leader-down-5-026.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8833291008022899,336.056472,2523.276486,4523.440508,113,7,0,0,60.000134842,true
leader caído,27,leader-down-5-027.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.7945529111489018,418.225577,2367.860032,4321.829989,108,11,0,1,60.182120755,true
leader caído,28,leader-down-5-028.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8832980891359519,393.344781,3030.697118,4889.165113,113,6,0,1,60.001122845,true
leader caído,29,leader-down-5-029.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8999866052527652,411.520999,1585.149257,2057.18531,114,6,0,0,60.000422995,true
leader caído,30,leader-down-5-030.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8999730446390886,372.501825,3129.682324,4170.52823,114,6,0,0,60.000851234,true
partición de leader,1,leader-partition-5-001.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8825162577111878,425.048118,1880.498332,3045.735928,113,6,0,1,60.026042026,true
partición de leader,2,leader-partition-5-002.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8666588985034387,308.38228,1443.620808,2085.507402,112,7,0,1,60.000249692,true
partición de leader,3,leader-partition-5-003.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.783300541051891,344.833925,1544.190064,1969.087028,107,13,0,0,60.001103312,true
partición de leader,4,leader-partition-5-004.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.836184037651994,298.74156,1408.974589,2105.410788,112,8,0,0,60.996064503,true
partición de leader,5,leader-partition-5-005.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.849981744626808,325.374638,2239.700007,3239.833328,111,9,0,0,60.000592072,true
partición de leader,6,leader-partition-5-006.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8503793411132674,368.629483,1887.177883,2510.208524,112,8,0,0,60.528129293,true
